bloque,ts,variable,valor
B10_ARQ,2026-08-29 14:30:00,activepower,28098.15
B10_ARQ,2026-08-29 14:40:00,activepower,28412.45
B10_ARQ,2026-08-29 14:50:00,activepower,28754.1
B10_ARQ,2026-08-29 15:00:00,activepower,28791.45
B10_ARQ,2026-08-29 15:10:00,activepower,29463.9
B10_ARQ,2026-08-29 15:20:00,activepower,28033.75
B10_ARQ,2026-08-29 15:30:00,activepower,29416.25
B10_ARQ,2026-08-29 15:40:00,activepower,29350.6
B10_ARQ,2026-08-29 15:50:00,activepower,29775.9
B10_ARQ,2026-08-29 16:00:00,activepower,29810.25
B10_ARQ,2026-08-29 16:10:00,activepower,29744.6
B10_ARQ,2026-08-29 16:20:00,activepower,9982.05
B10_ARQ,2026-08-29 16:30:00,activepower,10841.35
B10_ARQ,2026-08-29 16:40:00,activepower,10018.3
B10_ARQ,2026-08-29 16:50:00,activepower,9820.6
B10_ARQ,2026-08-29 17:00:00,activepower,9299.05
B10_ARQ,2026-08-29 17:10:00,activepower,10578.4
B10_ARQ,2026-08-29 17:20:00,activepower,10579.65
B10_ARQ,2026-08-29 17:30:00,activepower,11171.9
B10_ARQ,2026-08-29 17:40:00,activepower,10265.15
B10_ARQ,2026-08-29 17:50:00,activepower,8076.1
B10_ARQ,2026-08-29 18:00:00,activepower,8010.3
B10_ARQ,2026-08-29 18:10:00,activepower,8200.1
B10_ARQ,2026-08-29 18:20:00,activepower,6680.05
B10_ARQ,2026-08-29 18:30:00,activepower,7786.7
B10_ARQ,2026-08-29 18:40:00,activepower,7222.15
B10_ARQ,2026-08-29 18:50:00,activepower,7805.05
B10_ARQ,2026-08-29 19:00:00,activepower,7096.2
B10_ARQ,2026-08-29 19:10:00,activepower,8798.75
B10_ARQ,2026-08-29 19:20:00,activepower,8762.7
B10_ARQ,2026-08-29 19:30:00,activepower,8768.4
B10_ARQ,2026-08-29 19:40:00,activepower,8664.95
B10_ARQ,2026-08-29 19:50:00,activepower,8618.2
B10_ARQ,2026-08-29 20:00:00,activepower,7462.5
B10_ARQ,2026-08-29 20:10:00,activepower,8005.5
B10_ARQ,2026-08-29 20:20:00,activepower,8050.2
B10_ARQ,2026-08-29 20:30:00,activepower,7913.85
B10_ARQ,2026-08-29 20:40:00,activepower,8519.7
B10_ARQ,2026-08-29 20:50:00,activepower,8315.9
B10_ARQ,2026-08-29 21:00:00,activepower,8205.650000000001
B10_ARQ,2026-08-29 21:10:00,activepower,8240.45
B10_ARQ,2026-08-29 21:20:00,activepower,7562.7
B10_ARQ,2026-08-29 21:30:00,activepower,7503.4
B10_ARQ,2026-08-29 21:40:00,activepower,7664.799999999999
B10_ARQ,2026-08-29 21:50:00,activepower,8273.4
B10_ARQ,2026-08-29 22:00:00,activepower,8173.75
B10_ARQ,2026-08-29 22:10:00,activepower,7796.05
B10_ARQ,2026-08-29 22:20:00,activepower,8177.5
B10_ARQ,2026-08-29 22:30:00,activepower,6602.85
B10_ARQ,2026-08-29 22:40:00,activepower,7188.4
B10_ARQ,2026-08-29 22:50:00,activepower,7264.9
B10_ARQ,2026-08-29 23:00:00,activepower,7619.35
B10_ARQ,2026-08-29 23:10:00,activepower,7771.3
B10_ARQ,2026-08-29 23:20:00,activepower,8331.4
B10_ARQ,2026-08-29 23:30:00,activepower,8093.7
B10_ARQ,2026-08-29 23:40:00,activepower,7590.05
B10_ARQ,2026-08-29 23:50:00,activepower,7370.950000000001
B10_ARQ,2026-08-30 00:00:00,activepower,7536.4
B10_ARQ,2026-08-30 00:10:00,activepower,7037.4
B10_ARQ,2026-08-30 00:20:00,activepower,8287.45
B10_ARQ,2026-08-30 00:30:00,activepower,8118.95
B10_ARQ,2026-08-30 00:40:00,activepower,8500.6
B10_ARQ,2026-08-30 00:50:00,activepower,7842.65
B10_ARQ,2026-08-30 01:00:00,activepower,7819.4
B10_ARQ,2026-08-30 01:10:00,activepower,6994.3
B10_ARQ,2026-08-30 01:20:00,activepower,7601.8
