bloque,variable,wape_modelo,wape_ingenuo,gana
B10_ARQ,activeenergyimport_incremento,33.779,46.973,si
B10_ARQ,activepower,33.306,47.683,si
B10_ARQ,totalpowerfactor,2.856,3.365,si
B10_ARQ,voltaje_promedio,0.551,0.793,si
B12_DERE,activeenergyimport_incremento,26.634,25.103,no
B12_DERE,activepower,26.136,23.456,no
B12_DERE,totalpowerfactor,7.886,7.633,no
B12_DERE,voltaje_promedio,0.365,0.465,si
B15_BIBL,activeenergyimport_incremento,27.493,27.837,si
B15_BIBL,activepower,26.359,25.232,no
B15_BIBL,totalpowerfactor,0.331,0.379,si
B15_BIBL,voltaje_promedio,0.372,0.471,si
B17_POLI,activeenergyimport_incremento,43.965,67.931,si
B17_POLI,activepower,43.695,66.249,si
B17_POLI,totalpowerfactor,3.879,6.13,si
B17_POLI,voltaje_promedio,0.412,0.534,si
B18_PARQ,activeenergyimport_incremento,21.219,26.576,si
B18_PARQ,activepower,20.517,24.545,si
B18_PARQ,totalpowerfactor,0.638,0.75,si
B18_PARQ,voltaje_promedio,0.371,0.461,si
B3_RECT,activeenergyimport_incremento,30.736,33.628,si
B3_RECT,activepower,29.232,30.802,si
B3_RECT,totalpowerfactor,0.677,0.826,si
B3_RECT,voltaje_promedio,0.372,0.465,si
B4_PRIM,activeenergyimport_incremento,23.28,27.723,si
B4_PRIM,activepower,22.937,27.746,si
B4_PRIM,totalpowerfactor,2.169,2.412,si
B4_PRIM,voltaje_promedio,0.38,0.478,si
B5_BACH,activeenergyimport_incremento,26.183,29.248,si
B5_BACH,activepower,24.093,25.987,si
B5_BACH,totalpowerfactor,0.778,0.973,si
B5_BACH,voltaje_promedio,0.389,0.493,si
B7_CTIC,activeenergyimport_incremento,7.557,9.581,si
B7_CTIC,activepower,7.296,8.692,si
B7_CTIC,totalpowerfactor,0.348,0.406,si
B7_CTIC,voltaje_promedio,0.387,0.469,si
B7_TAC,activeenergyimport_incremento,26.018,28.173,si
B7_TAC,activepower,25.197,27.784,si
B7_TAC,totalpowerfactor,3.096,3.449,si
B7_TAC,voltaje_promedio,0.424,0.548,si
B8_AA,activeenergyimport_incremento,70.798,78.153,si
B8_AA,activepower,73.199,76.615,si
B8_AA,totalpowerfactor,7.214,13.774,si
B8_AA,voltaje_promedio,0.397,0.505,si
B8_CPA,activeenergyimport_incremento,324.671,109.161,no
B8_CPA,activepower,217.286,125.965,no
B8_CPA,totalpowerfactor,40.203,94.321,si
B8_CPA,voltaje_promedio,0.388,0.47,si
B8_LABS,activeenergyimport_incremento,20.614,25.644,si
B8_LABS,activepower,20.208,24.355,si
B8_LABS,totalpowerfactor,2.452,2.879,si
B8_LABS,voltaje_promedio,0.366,0.467,si
B9_SFA1,activeenergyimport_incremento,18.586,23.489,si
B9_SFA1,activepower,17.378,21.037,si
B9_SFA1,totalpowerfactor,0.535,0.766,si
B9_SFA1,voltaje_promedio,0.351,0.461,si
B9_SFA2,activeenergyimport_incremento,36.323,47.051,si
B9_SFA2,activepower,36.856,48.742,si
B9_SFA2,totalpowerfactor,0.933,2.035,si
B9_SFA2,voltaje_promedio,0.431,0.531,si
ECOVILLA,activeenergyimport_incremento,46.281,53.731,si
ECOVILLA,activepower,47.523,56.953,si
ECOVILLA,totalpowerfactor,5.214,7.982,si
ECOVILLA,voltaje_promedio,0.876,1.042,si
