bloque,variable,modelo,ingenuo_dia,ingenuo_semana,mejor_ingenuo,ventaja_%
B10_ARQ,activepower,55.6,56.95,49.56,49.56,-12.2
B10_ARQ,totalpowerfactor,4.35,4.54,4.01,4.01,-8.57
B10_ARQ,voltaje_promedio,0.83,0.84,0.84,0.84,1.35
B12_DERE,activepower,71.88,40.99,30.8,30.8,-133.39
B12_DERE,totalpowerfactor,25.35,15.79,9.58,9.58,-164.62
B12_DERE,voltaje_promedio,2.13,0.53,0.55,0.53,-301.78
B15_BIBL,activepower,43.81,44.03,34.06,34.06,-28.64
B15_BIBL,totalpowerfactor,0.45,0.38,0.41,0.38,-16.85
B15_BIBL,voltaje_promedio,0.45,0.54,0.56,0.54,16.36
B17_POLI,activepower,50.66,41.78,60.47,41.78,-21.25
B17_POLI,totalpowerfactor,5.84,4.76,5.65,4.76,-22.67
B17_POLI,voltaje_promedio,0.54,0.56,0.61,0.56,3.66
B18_PARQ,activepower,31.16,29.65,25.13,25.13,-23.97
B18_PARQ,totalpowerfactor,1.22,0.83,0.85,0.83,-47.82
B18_PARQ,voltaje_promedio,0.43,0.52,0.55,0.52,17.4
B3_RECT,activepower,40.66,44.13,34.61,34.61,-17.46
B3_RECT,totalpowerfactor,1.02,0.98,0.99,0.98,-4.23
B3_RECT,voltaje_promedio,0.46,0.53,0.55,0.53,13.11
B4_PRIM,activepower,35.82,35.48,31.78,31.78,-12.69
B4_PRIM,totalpowerfactor,2.78,2.27,2.21,2.21,-25.83
B4_PRIM,voltaje_promedio,0.47,0.54,0.56,0.54,12.75
B5_BACH,activepower,34.17,37.33,29.88,29.88,-14.36
B5_BACH,totalpowerfactor,0.84,0.88,0.91,0.88,5.24
B5_BACH,voltaje_promedio,0.48,0.57,0.58,0.57,15.17
B7_CTIC,activepower,8.88,9.39,9.19,9.19,3.42
B7_CTIC,totalpowerfactor,0.35,0.38,0.41,0.38,7.42
B7_CTIC,voltaje_promedio,0.47,0.53,0.56,0.53,11.04
B7_TAC,activepower,41.17,39.5,37.88,37.88,-8.66
B7_TAC,totalpowerfactor,4.52,4.24,3.84,3.84,-17.85
B7_TAC,voltaje_promedio,0.6,0.62,0.66,0.62,2.54
B8_AA,activepower,88.61,99.33,102.92,99.33,10.79
B8_AA,totalpowerfactor,6.15,6.22,8.39,6.22,1.2
B8_AA,voltaje_promedio,0.47,0.55,0.58,0.55,15.56
B8_CPA,activepower,116.4,66.97,81.02,66.97,-73.8
B8_CPA,totalpowerfactor,57.43,43.71,68.28,43.71,-31.39
B8_CPA,voltaje_promedio,0.51,0.53,0.55,0.53,3.02
B8_LABS,activepower,32.14,29.36,29.08,29.08,-10.5
B8_LABS,totalpowerfactor,3.79,3.41,3.45,3.41,-11.16
B8_LABS,voltaje_promedio,0.46,0.53,0.55,0.53,13.37
B9_SFA1,activepower,39.0,28.51,23.76,23.76,-64.1
B9_SFA1,totalpowerfactor,0.98,1.02,0.98,0.98,0.44
B9_SFA1,voltaje_promedio,0.52,0.52,0.55,0.52,0.54
B9_SFA2,activepower,45.27,45.5,46.76,45.5,0.51
B9_SFA2,totalpowerfactor,1.25,1.09,1.85,1.09,-14.12
B9_SFA2,voltaje_promedio,0.49,0.56,0.6,0.56,12.15
ECOVILLA,activepower,79.81,69.61,63.69,63.69,-25.31
ECOVILLA,totalpowerfactor,8.43,6.38,7.44,6.38,-32.23
ECOVILLA,voltaje_promedio,1.1,1.14,1.05,1.05,-4.86
